t,oracle_run_id,run_id,word_jaccard,char_similarity,oracle_chars,prediction_chars
0,oracle_privileged,oracle_next15,0.16974169741697417,0.07767548906789414,2492,984
283,oracle_privileged,oracle_next15,0.17777777777777778,0.09263995453253765,2415,1104
298,oracle_privileged,oracle_next15,0.18796992481203006,0.12702933637140415,2237,1274
650,oracle_privileged,oracle_next15,0.16304347826086957,0.08431995379728559,1926,1537
1000,oracle_privileged,oracle_next15,0.14726027397260275,0.06615214994487321,2485,1143
1310,oracle_privileged,oracle_next15,0.18631178707224336,0.08753623188405797,2234,1216
1450,oracle_privileged,oracle_next15,0.16546762589928057,0.07945205479452055,2470,1180
1750,oracle_privileged,oracle_next15,0.20618556701030927,0.08501242064587358,2356,1267
2050,oracle_privileged,oracle_next15,0.18604651162790697,0.07970794037115911,2045,1242
2180,oracle_privileged,oracle_next15,0.19148936170212766,0.1046475838719606,2096,1153
2195,oracle_privileged,oracle_next15,0.20074349442379183,0.10683886116818316,2054,1353
