name,category,backend,run_label,model,provider,benchmark_mode,status,total_calls,successful_calls,error_calls,state_prompt_tokens,state_completion_tokens,state_request_latency_seconds,state_hidden_ready_latency_seconds,state_hidden_ready_calls_per_second,history_prompt_tokens,history_completion_tokens,history_request_latency_seconds,history_hidden_ready_latency_seconds,history_hidden_ready_calls_per_second,source_run_dir
Qwen3-4B-Thinking-2507 (vLLM Plugin API),vllm_compatible,openai_compatible,qwen3_4b_vllm_hidden,configs/vllm_hidden_qwen4b,openai_compatible,hidden_only,ok,6,6,0,1626.000000,1.000000,0.027825,0.028035,35.669699,6395.000000,1.000000,0.044428,0.045916,21.778742,future_imagination_latency_bench/20260320_025932_qwen3_hiddenonly_server_v014_vs_hf_fast/qwen3_4b_vllm_hidden
Qwen3-4B (HF),transformers,hf_local,qwen3_4b_hf_hidden,Qwen/Qwen3-4B,hf_local,hidden_only,ok,6,6,0,1626.000000,0.000000,0.127445,0.127445,7.846502,6395.000000,0.000000,0.679545,0.679545,1.471573,future_imagination_latency_bench/20260320_025932_qwen3_hiddenonly_server_v014_vs_hf_fast/qwen3_4b_hf_hidden
Qwen3-8B (vLLM Plugin API),vllm_compatible,openai_compatible,qwen3_8b_vllm_hidden,configs/vllm_hidden_qwen3_8b_auto4,openai_compatible,hidden_only,ok,6,6,0,1626.000000,1.000000,0.038858,0.039083,25.586354,6395.000000,1.000000,0.057034,0.058713,17.032100,future_imagination_latency_bench/20260320_025932_qwen3_hiddenonly_server_v014_vs_hf_fast/qwen3_8b_vllm_hidden
Qwen3-8B (HF),transformers,hf_local,qwen3_8b_hf_hidden,Qwen/Qwen3-8B,hf_local,hidden_only,ok,6,6,0,1626.000000,0.000000,0.251826,0.251826,3.970991,6395.000000,0.000000,1.231556,1.231556,0.811981,future_imagination_latency_bench/20260320_025932_qwen3_hiddenonly_server_v014_vs_hf_fast/qwen3_8b_hf_hidden
Qwen3-14B (vLLM Plugin API),vllm_compatible,openai_compatible,qwen3_14b_vllm_hidden,configs/vllm_hidden_qwen3_14b_auto4,openai_compatible,hidden_only,ok,6,6,0,1626.000000,1.000000,0.060610,0.060919,16.415240,6395.000000,1.000000,0.078295,0.079888,12.517525,future_imagination_latency_bench/20260320_025932_qwen3_hiddenonly_server_v014_vs_hf_fast/qwen3_14b_vllm_hidden
Qwen3-14B (HF),transformers,hf_local,qwen3_14b_hf_hidden,Qwen/Qwen3-14B,hf_local,hidden_only,ok,6,6,0,1626.000000,0.000000,0.490404,0.490404,2.039134,6395.000000,0.000000,2.231390,2.231390,0.448151,future_imagination_latency_bench/20260320_025932_qwen3_hiddenonly_server_v014_vs_hf_fast/qwen3_14b_hf_hidden
Qwen3.5-9B (vLLM Plugin API),vllm_compatible,openai_compatible,qwen3_5_9b_vllm_hidden,configs/vllm_hidden_qwen35_9b_auto4,openai_compatible,hidden_only,error,6,0,6,,,,,,,,,,,future_imagination_latency_bench/20260320_032626_qwen35_9b_plugin_hf_hiddenonly_fast3/qwen3_5_9b_vllm_hidden
Qwen3.5-9B (HF),transformers,hf_local,qwen3_5_9b_hf_hidden,Qwen/Qwen3.5-9B,hf_local,hidden_only,ok,6,6,0,1662.000000,0.000000,0.341447,0.341447,2.928709,6436.000000,0.000000,1.459081,1.459081,0.685363,future_imagination_latency_bench/20260320_032626_qwen35_9b_plugin_hf_hiddenonly_fast3/qwen3_5_9b_hf_hidden
Qwen3.5-27B (vLLM Plugin API),vllm_compatible,openai_compatible,qwen3_5_27b_vllm_hidden,,,,missing,,,,,,,,,,,,,,
Qwen3.5-27B (HF),transformers,hf_local,qwen3_5_27b_hf_hidden,Qwen/Qwen3.5-27B,hf_local,,ok,2,2,0,,32.000000,4.678910,8.147239,0.122741,,32.000000,29.688081,77.086758,0.012972,future_imagination_latency_bench/20260319_191206_q35_27b_hf_single_overlay4/qwen3_5_27b_hf_hidden
